epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1153.39,1.25672,0.72518,0.88937,0.68695,0.73903,0.73042,0.45833,1.08428,0.63803,0.86502,0.000539275,0.000539275,0.000539275
43,1175.85,1.30933,0.73489,0.8928,0.85168,0.61377,0.72937,0.45714,1.11894,0.64483,0.86989,0.000511769,0.000511769,0.000511769
44,1202.31,1.16338,0.66658,0.88232,0.86009,0.61523,0.72692,0.46671,1.06012,0.6347,0.86141,0.000484263,0.000484263,0.000484263
45,1227.52,1.12834,0.66392,0.89001,0.72435,0.66621,0.72054,0.46236,1.03078,0.62351,0.85698,0.000456758,0.000456758,0.000456758
46,1251.68,1.14943,0.66675,0.885,0.8075,0.64113,0.72038,0.46454,1.03208,0.61532,0.85702,0.000429253,0.000429253,0.000429253
47,1275.33,1.1502,0.75974,0.87749,0.82424,0.6835,0.72419,0.46506,1.05947,0.61958,0.85957,0.000401747,0.000401747,0.000401747
48,1298.54,1.17023,0.66698,0.8979,0.79312,0.68875,0.72074,0.45937,1.05339,0.61341,0.85839,0.000374242,0.000374242,0.000374242
49,1326.45,1.20207,0.6744,0.87833,0.76408,0.70803,0.72085,0.46545,1.03866,0.61036,0.85582,0.000346736,0.000346736,0.000346736
50,1350.79,1.16706,0.6667,0.87468,0.90666,0.58906,0.72015,0.45339,1.05676,0.6109,0.85803,0.000319231,0.000319231,0.000319231
51,1408.83,1.13443,0.6515,0.89879,0.90677,0.58842,0.72222,0.45979,1.03797,0.60511,0.85493,0.000291725,0.000291725,0.000291725
52,1427.89,1.1713,0.68485,0.89505,0.90236,0.58967,0.72722,0.45138,1.05279,0.6178,0.8561,0.00026422,0.00026422,0.00026422
53,1446.45,1.11064,0.6346,0.88573,0.90231,0.58969,0.73054,0.45387,1.05991,0.62284,0.85721,0.000236714,0.000236714,0.000236714
54,1470.78,1.13337,0.66698,0.87871,0.90402,0.60829,0.73895,0.46589,1.05978,0.63301,0.85716,0.000209209,0.000209209,0.000209209
55,1489.96,1.15479,0.69369,0.87815,0.90275,0.6052,0.7403,0.47203,1.04243,0.62489,0.85469,0.000181703,0.000181703,0.000181703
56,1515.02,1.12107,0.69309,0.89108,0.89109,0.59224,0.70313,0.45842,1.03106,0.62186,0.85411,0.000154198,0.000154198,0.000154198
57,1539.84,1.09045,0.62067,0.87079,0.88672,0.59288,0.70013,0.45302,1.03642,0.62073,0.85517,0.000126692,0.000126692,0.000126692
58,1559.91,1.10278,0.61962,0.88576,0.89097,0.59224,0.70891,0.46065,1.02938,0.61399,0.85377,9.91865e-05,9.91865e-05,9.91865e-05
59,1585.48,1.09818,0.62049,0.89046,0.89716,0.59224,0.71826,0.46836,1.02513,0.61096,0.85293,7.1681e-05,7.1681e-05,7.1681e-05
60,1606.06,1.11203,0.64275,0.87195,0.89592,0.60841,0.73425,0.47681,1.02405,0.60425,0.85261,4.41755e-05,4.41755e-05,4.41755e-05
